id,exam,question_type,question,ground_truth_answer,ground_truth_ref,ground_truth_doc_id
A2_001,A2,with_ref,"Según la Ley 22/2009, de 18 de diciembre, por la que se regula el sistema de financiación de las Comunidades Autónomas de régimen común y Ciudades con Estatuto de Autonomía y se modifican determinadas normas tributarias, ¿qué fondo opera como recurso de cierre del sistema?",El Fondo de Suficiencia Global.,preambulo,doc101
A2_002,A2,with_ref,"Según el artículo 36 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, ¿cómo se perfeccionan los contratos basados en un acuerdo marco?",Con su adjudicación.,Artículo 36.,doc043
A2_003,A2,with_ref,"Según el artículo veintidós de la Ley de 16 de diciembre de 1954 sobre expropiación forzosa, ¿qué recurso cabrá interponer contra el acuerdo de necesidad de ocupación?",Recurso de alzada ante el ministerio correspondiente.,Artículo veintidós.,doc156
A2_004,A2,with_ref,"De acuerdo con el Real Decreto 2271/2004, de 3 de diciembre, por el que se regula el acceso al empleo público y la provisión de puestos de trabajo de las personas con discapacidad, una vez superado el proceso selectivo, ¿qué pueden solicitar al órgano convocante las personas que ingresen y hayan sido admitidas en la convocatoria ordinaria por el cupo de reserva para personas con discapacidad?","La alteración del orden de prelación para la elección de las plazas dentro del ámbito territorial que se determine en la convocatoria, por motivos de dificultades de desplazamiento.",Artículo 9.,doc002
A2_005,A2,with_ref,"¿Cómo define el principio de estabilidad presupuestaria la Ley Orgánica 2/2012, de 27 de abril, de Estabilidad Presupuestaria y Sostenibilidad Financiera?",La situación de equilibrio o superávit estructural.,preambulo,doc114
A2_006,A2,with_ref,"De acuerdo con el texto refundido de la Ley sobre Seguridad Social de los funcionarios civiles del Estado, aprobado mediante el Real Decreto Legislativo 4/2000, de 23 de junio, ¿qué contiene el fondo especial?","La totalidad de los bienes, derechos y acciones de las Mutualidades, Asociaciones y Montepíos aportados con su integración a la Mutualidad General de Funcionarios Civiles del Estado.",Artículo 34.,doc226
A2_007,A2,with_ref,"¿Cuál es el órgano de cooperación administrativa encargado del seguimiento de la aplicación del contenido de la Ley 20/2013, de 9 de diciembre, de garantía de la unidad de mercado?",La Conferencia Sectorial para la Mejora Regulatoria y el Clima de Negocios.,Artículo 10.,doc052
A2_008,A2,with_ref,"¿Cómo se organizan las Oficinas de la cooperación española, según lo dispuesto en la Ley 1/2023, de 20 de febrero, de Cooperación para el Desarrollo Sostenible y la Solidaridad Global?",Las Oficinas de la cooperación española son unidades adscritas orgánicamente a las Embajadas y Representaciones Permanentes bajo la dirección superior de su Jefatura de Misión y la dependencia funcional de la AECID.,Artículo 32.,doc044
A2_009,A2,standard,¿Quién propone a los Magistrados del Tribunal Constitucional?,"4 el Congreso, 4 el Senado, 2 el Gobierno y 2 el Consejo General del Poder Judicial.",Artículo 15.,doc015
A2_010,A2,standard,¿En qué casos los contratos administrativos especiales serán susceptibles de recurso especial en materia de contratación?,Cuando por sus características no sea posible fijar su precio de licitación.,Artículo 44.,doc043
A2_011,A2,standard,¿Cada cuánto tiempo conocerá la Comisión de Seguimiento del Fondo de Reserva de la Seguridad Social de la evolución y composición del Fondo de Reserva?,Semestralmente.,Artículo 125.,doc223
A2_012,A2,standard,"En los procedimientos de responsabilidad patrimonial, ¿cuándo podrá entenderse que la resolución es contraria a la indemnización del particular?","Cuando hayan transcurrido seis meses desde que se inició el procedimiento sin que haya recaido y se notifique resolución expresa o, en su caso, se haya formalizado el acuerdo",Artículo 91.,doc095
A2_013,A2,standard,"¿Es compatible el desempeño de un puesto de funcionario de carrera de la Administración General del Estado con el de cargo electivo, miembro de una corporación local?","Sí, salvo que en la corporación local desempeñe cargos retribuidos en régimen de dedicación exclusiva.",Artículo quinto.,doc054
A2_014,A2,standard,¿Qué titulación mínima se exige para el grupo profesional E2?,Título de Bachiller o Técnico o equivalentes.,Artículo 8.,doc034
A2_015,A2,standard,¿Es el embarazo una contingencia protegida por la prestación sanitaria de MUFACE?,"Sí, así lo establece el Reglamento General del Mutualismo Administrativo.",Artículo 66.,doc201
A2_016,A2,standard,¿Cuál será la duración del mandato de la Presidencia y del Adjunto de la Agencia Española de Protección de Datos?,Será de cinco años y puede ser renovado para otro período de igual duración.,Artículo 48.,doc121
A2_017,A2,standard,"En caso de apreciar riesgo de incumplimiento del objetivo de estabilidad presupuestaria de una Comunidad Autónoma, se formulará advertencia motivada sobre tal situación. ¿De qué plazo dispone la Administración advertida para adoptar las medidas necesarias para evitar este riesgo?",Un mes.,Artículo 19.,doc114
A2_018,A2,with_options,"Indique cuál de las siguientes opciones es un objetivo operativo de la Estrategia Española de Apoyo Activo al Empleo 2025-2028:
a) Promover la digitalización del Sistema Nacional de Empleo y el desarrollo de herramientas digitales de apoyo a la labor de los servicios públicos de empleo.
b) Promover la participación de las entidades colaboradoras de los servicios públicos de empleo.
c) Promover el acompañamiento integral a las empresas.
d) Promover la plena implementación de los servicios garantizados a las personas",Promover la digitalización del Sistema Nacional de Empleo y el desarrollo de herramientas digitales de apoyo a la labor de los servicios públicos de empleo,CAPÍTULO III,doc023
A2_019,A2,with_options,"¿Qué NO debe contener el modelo de gestión de contingencias migratorias extraordinarias para la infancia y la adolescencia migrante no acompañada, de acuerdo con lo establecido legalmente?
a) El conjunto de criterios objetivos para la determinación, por el órgano competente de la Administración General del Estado, de cuál será la ubicación de las personas menores de edad extranjeras no acompañadas en las diferentes comunidades o ciudades autónomas.
b) La regulación del mecanismo de derivación de las personas menores de edad extranjeras no acompañadas a otras comunidades o ciudades autónomas.
c) Los criterios para la determinación del número de plazas por comunidad autónoma o ciudad autónoma, para atender a las personas menores de edad extranjeras no acompañadas en caso de derivación.
d) Un análisis de la situación de las familias de las personas menores de edad extranjeras no acompañadas.",Un análisis de la situación de las familias de las personas menores de edad extranjeras no acompañadas.,Artículo 35 ter.,doc134
A2_020,A2,with_options,"¿Cuáles de las siguientes son fuentes del Ordenamiento Jurídico Español?
a) La Ley, los Tratados Internacionales y la jurisprudencia.
b) La Ley, los Reglamentos y la doctrina del Tribunal Supremo.
c) La Ley, los Reglamentos y la jurisprudencia.
d) La Ley, la costumbre y los principios generales del derecho.","La Ley, la costumbre y los principios generales del derecho.",Artículo 1.,doc009
A2_021,A2,with_options,"En los contratos de obras, la solvencia técnica del empresario podrá ser acreditada a elección del órgano de contratación teniendo en cuenta la relación de las obras ejecutadas en el curso de:
a) Los dos últimos años.
b) Los cinco últimos años.
c) Los tres últimos años.
d) Los cuatro últimos años.",Los cinco últimos años.,Artículo 88.,doc043
A2_022,A2,with_options,"¿Cuál de los siguientes es el órgano responsable de la administración y custodia de la Base de Datos Nacional de Subvenciones?
a) El Ministerio de Hacienda.
b) La Intervención General de la Administración del Estado.
c) El Ministerio de Economía, Comercio y Empresa.
d) La Autoridad Independiente de Responsabilidad Fiscal.",La Intervención General de la Administración del Estado.,Artículo 20.,doc104
A2_023,A2,with_options,"¿Cuál de las siguientes afirmaciones sobre los trienios es correcta?
a) Serán iguales, en todas las Administraciones públicas, para cada uno de los grupos de clasificación según el nivel del complemento de destino que se perciba.
b) Corresponde al índice de proporcionalidad asignado anualmente a cada uno de los grupos en que se organizan los Cuerpos y Escalas, Clases o Categorías.
c) Serán iguales en todas las Administraciones públicas, para cada uno de los grupos en que se clasifican los cuerpos, escalas, categorías o clases de funcionarios.
d) Corresponde al índice de proporcionalidad asignado cada tres años a cada uno de los grupos en que se organizan los Cuerpos y Escalas, Clases o Categorías.","Serán iguales en todas las Administraciones públicas, para cada uno de los grupos en que se clasifican los cuerpos, escalas, categorías o clases de funcionarios",Artículo veintitrés.,doc061
A2_024,A2,with_options," El nombramiento del Defensor del Pueblo será acreditado:
a) Por el Presidente del Gobierno, con su firma.
b) Solamente por el Presidente del Senado, con su firma.
c) Conjuntamente por los Presidentes del Congreso y del Senado con sus firmas.
d) Por el Rey con su firma.",Conjuntamente por los Presidentes del Congreso y del Senado con sus firmas.,Artículo cuarto.,doc125
A2_025,A2,with_options,"Señale la afirmación correcta:
a) El Consejo de Estado emitirá dictamen sobre cuantos asuntos sometan a su consulta el Gobierno o sus miembros.
b) La consulta al Consejo de Estado será facultativa cuando así lo establezcan las leyes, siendo los dictámenes que emite vinculantes.
c) Los dictámenes del Consejo de Estado serán vinculantes, salvo que su Presidente disponga lo contrario.
d) Los asuntos en que hubiera dictaminado el Pleno del Consejo de Estado podrán remitirse a informe de otro órgano de la Administración.",El Consejo de Estado emitirá dictamen sobre cuantos asuntos sometan a su consulta el Gobierno o sus miembros.,Artículo segundo.,doc124
A2_026,A2,with_options,"La Sala de lo Penal de la Audiencia Nacional conocerá de:
a) Los delitos cometidos fuera del territorio nacional, cuando conforme a las leyes o a los tratados corresponda su enjuiciamiento a los Tribunales españoles.
b) Los recursos de casación, revisión y otros extraordinarios en materia penal que establezca la ley.
c) La instrucción y enjuiciamiento de las causas contra el Presidente del Gobierno, Presidentes del Congreso y del Senado, Presidente del Tribunal Supremo y del Consejo General del Poder Judicial, Presidente del Tribunal Constitucional, miembros del Gobierno, Diputados y Senadores.
d) La instrucción y el fallo de las causas penales contra jueces, magistrados y miembros del Ministerio Fiscal por delitos o faltas cometidos en el ejercicio de su cargo en la comunidad autónoma, siempre que esta atribución no corresponda al Tribunal Supremo.","Los delitos cometidos fuera del territorio nacional, cuando conforme a las leyes o a los tratados corresponda su enjuiciamiento a los Tribunales españoles",Artículo 23.,doc126
C1_001,C1,with_ref,"Conforme al artículo 5 de la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales, ¿quiénes están sujetos al deber de confidencialidad?","Los responsables y encargados del tratamiento de datos, así como todas las personas que intervengan en cualquier fase de este.",Artículo 5.,doc121
C1_002,C1,with_ref,"De acuerdo con el artículo 5 del Real Decreto Legislativo 4/2000, de 23 de junio, por el que se aprueba el texto refundido de la Ley sobre Seguridad Social de los Funcionarios Civiles del Estado, ¿cómo se integra en el Sector Público Institucional Estatal la Mutualidad General de Funcionarios Civiles del Estado (MUFACE)?",Como organismo público.,Artículo 5.,doc223
C1_003,C1,with_ref,"Según el Real Decreto 208/1996, de 9 de febrero, por el que se regulan los servicios de información administrativa y atención al ciudadano, ¿quién ostentará la jefatura de la unidad departamental de información administrativa en cada Ministerio? ",El titular de la Subdirección General que tenga encomendada la competencia sobre la información administrativa. ,Artículo 5.,doc207
C1_004,C1,with_ref,"El Real Decreto 364/1995, de 10 de marzo, por el que se aprueba el Reglamento General de Ingreso del Personal al servicio de la Administración General del Estado y de Provisión de Puestos de Trabajo y Promoción Profesional de los Funcionarios Civiles de la Administración General del Estado, ¿qué órganos de selección establece en su artículo 10?",Los Tribunales y las Comisiones Permanentes de Selección. ,Artículo 10.,doc199
C1_005,C1,with_ref,"De acuerdo con lo establecido en la Ley Orgánica 2/1979, de 3 de octubre, del Tribunal Constitucional, ¿cuántos miembros deben estar presentes para que el Tribunal en Pleno puede adoptar acuerdos?","Al menos, dos tercios de los miembros que en cada momento lo compongan.",Artículo catorce.,doc128
C1_006,C1,with_ref,"Según el Real Decreto 365/1995, de 10 de marzo, por el que se aprueba el Reglamento de Situaciones Administrativas de los Funcionarios Civiles de la Administración General del Estado, ¿en qué situación quedará el funcionario declarado en suspensión firme de funciones de no solicitar el reingreso en el tiempo establecido? ","En la situación de excedencia voluntaria por interés particular, con efectos desde la fecha de finalización de la sanción. ",Artículo 22.,doc195
C1_007,C1,with_ref,"Conforme a la Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres, ¿qué se considera la situación en que una disposición, criterio o práctica aparentemente neutros pone a personas de un sexo en desventaja particular con respecto a personas del otro, salvo que dicha disposición, criterio o práctica puedan justificarse objetivamente en atención a una finalidad legítima y que los medios para alcanzar dicha finalidad sean necesarios y adecuados?",Discriminación indirecta por razón de sexo.,Artículo 6.,doc130
C1_008,C1,with_ref,"Según lo establecido en la Ley 7/1985, de 2 de abril, Reguladora de las Bases del Régimen Local, ¿la coordinación de la prestación del servicio de recogida y tratamiento de residuos es competencia de la Diputación provincial o entidad equivalente en municipios con qué población?",Población inferior a 20.000 habitantes.,Artículo 26.,doc148
C1_009,C1,standard,¿A qué municipios se les aplicará el régimen de organización de los municipios de gran población?,"A los municipios que sean capitales de provincia, capitales autonómicas o sedes de las instituciones autonómicas cuando así lo decidan las Asambleas Legislativas correspondientes a iniciativa de los respectivos ayuntamientos.",Artículo 121.,doc148
C1_010,C1,standard,"¿A quién le corresponde fijar el importe de las indemnizaciones que proceda abonar cuando el Tribunal Constitucional haya declarado, a instancia de parte interesada, la existencia de un funcionamiento anormal en la tramitación de los recursos de amparo o de las cuestiones de inconstitucionalidad?",Al Consejo de Ministros.,Artículo 32.,doc082
C1_011,C1,standard,¿Cuándo deberán justificar los Cajeros pagadores la aplicación de las cantidades recibidas?,Dentro del mes siguiente a la inversión de las mismas y en todo caso en el plazo de tres meses desde la percepción de los correspondientes fondos,Artículo 10.,doc166
C1_012,C1,standard,¿Quién tiene la competencia para la concesión de una subvención de cuantía de 10 millones de euros en un Organismo Autónomo?,El Presidente o Director del Organismo Autónomo; esta competencia podrá ser objeto de desconcentración,Artículo 10.,doc104
C1_013,C1,standard,¿Qué Comisión se designará en las Cortes Generales para relacionarse con el Defensor del Pueblo e informar a los respectivos Plenos en cuantas ocasiones sea necesario?,Una Comisión Mixta Congreso-Senado,Artículo segundo.,doc125
C1_014,C1,standard,¿Podrá la Comisión General de Secretarios de Estado y Subsecretarios adoptar decisiones o acuerdos por delegación del Gobierno?,"No, en ningún caso.",Artículo 8.,doc091
C1_015,C1,standard,¿A quién le competen las funciones de Ordenador General de pagos del Estado?,Al Director General del Tesoro y Política Financiera.,Artículo 75.,doc107
C1_016,C1,standard,¿Cómo se pueden recurrir las resoluciones dictadas en materia de acceso a la información pública?,Mediante recurso contencioso administrativo,Artículo 20.,doc089
C1_017,C1,standard,"¿Qué principio se define como ""la capacidad de las Administraciones Públicas para que partiendo del conocimiento adquirido del usuario final del servicio, proporcione servicios precumplimentados y se anticipe a las necesidades""?",Personalización y proactividad.,Artículo 2.,doc184
C1_018,C1,with_options,"El derecho de acceso a la información pública podrá ser limitado cuando acceder a la información suponga un perjuicio para:
a) La seguridad nacional.
b) La seguridad e higiene en el trabajo.
c) La protección del anonimato de los empleados públicos.
d) La protección de datos de carácter profesional.",La seguridad nacional.,Artículo 14.,doc089
C1_019,C1,with_options,"Señale la respuesta correcta en materia de registros:
a) Los Organismos públicos vinculados o dependientes de cada Administración deberán disponer de su propio registro electrónico plenamente interoperable e interconectado con el Registro Electrónico General de la Administración de la que depende.
b) Cada Administración dispondrá de un Registro Electrónico General donde se deberá anotar la salida de los documentos oficiales provenientes de otros órganos o particulares.
c) Las disposiciones de creación de registros electrónicos especificarán el órgano o unidad responsable de su gestión, así como la fecha y hora oficial y los días declarados como hábiles.
d) Los Organismos públicos vinculados o dependientes de cada Administración podrán disponer de su propio registro electrónico plenamente interoperable e interconectado con el Registro Electrónico General de la Administración de la que depende.",Los Organismos públicos vinculados o dependientes de cada Administración podrán disponer de su propio registro electrónico plenamente interoperable e interconectado con el Registro Electrónico General de la Administración de la que depende.,Artículo 16.,doc095
C1_020,C1,with_options,"Las Administraciones Públicas, en relación con sus sistemas de identificación:
a) Podrán hacer pública la relación de certificados electrónicos utilizados, incluyendo las características de los sellos electrónicos y los prestadores que los expiden.
b) Podrán identificarse mediante el uso de un certificado electrónico reconocido o cualificado.
c) Deberán identificarse mediante el uso de un sello electrónico basado en una firma electrónica reconocida o cualificada que reúna los requisitos exigidos por la legislación de certificado electrónico.
d) Podrán identificarse mediante el uso de un sello electrónico basado en un certificado electrónico reconocido o cualificado que reúna los requisitos exigidos por la legislación de firma electrónica.",Podrán identificarse mediante el uso de un sello electrónico basado en un certificado electrónico reconocido o cualificado que reúna los requisitos exigidos por la legislación de firma electrónica.,Artículo 40.,doc082
C1_021,C1,with_options,"Los funcionarios de carrera se hallan en situación de servicio activo:
a) Cuando acceden a la condición de Diputado o Senador.
b) Cuando se encuentren en comisión de servicios.
c) Cuando sean transferidos a una comunidad autónoma.
d) Cuando estén en expectativa de destino",Cuando se encuentren en comisión de servicios,Artículo 3.,doc195
C1_022,C1,with_options,"Señale la respuesta correcta en relación con el proyecto de Ley de los Presupuestos Generales del Estado:
a) El Gobierno deberá presentar ante el Congreso de los Diputados los Presupuestos Generales del Estado al menos seis meses antes de la expiración de los del año anterior.
b) Corresponderá al Ministro de la Presidencia elevar al acuerdo del Gobierno el anteproyecto de la Ley de Presupuestos Generales del Estado.
c) Será remitido a las Cortes Generales antes del día 1 de octubre del año anterior al que se refiera.
d) Corresponderá al Ministro de Hacienda aprobar el anteproyecto de la Ley de Presupuestos Generales del Estado",Será remitido a las Cortes Generales antes del día 1 de octubre del año anterior al que se refiera.,Artículo 37.,doc107
C1_023,C1,with_options,"¿Cuál de las siguientes funciones le corresponde al Tribunal de Cuentas?
a) El control financiero permanente.
b) La fiscalización externa, permanente y consuntiva de la actividad económico-financiera del sector público.
c) La función interventor","La fiscalización externa, permanente y consuntiva de la actividad económico-financiera del sector público.",Artículo segundo.,doc129
C1_024,C1,with_options,"La modificación de la clasificación profesional de determinados colectivos de personal, sólo podrá ser aprobada:
a) Por la Subcomisión Paritaria a la que pertenezca.
b) Por la Comisión Negociadora del Convenio.
c) Por la Comisión Paritaria.
d) Por mayoría del colectivo afectado. ",Por la Comisión Negociadora del Convenio.,Artículo 11.,doc034
