id,exam,question_type,question,ground_truth_answer,ground_truth_ref,ground_truth_doc_id
A1_001,A1,with_ref,"De acuerdo con el artículo 56.1 de la Constitución Española de 1978, ¿qué arbitra y modera el Rey?",El funcionamiento regular de las instituciones.,Artículo 56.,doc015
A1_002,A1,with_ref,"Según la Ley 22/2009, de 18 de diciembre, por la que se regula el sistema de financiación de las Comunidades Autónomas de régimen común y Ciudades con Estatuto de Autonomía y se modifican determinadas normas tributarias, ¿qué fondo opera como recurso de cierre del sistema?",El Fondo de Suficiencia Global.,preambulo,doc101
A1_003,A1,with_ref,"De acuerdo con lo establecido en la Ley Orgánica 2/1979, de 3 de octubre, del Tribunal Constitucional, ¿cuántos miembros deben estar presentes para que el Tribunal en Pleno puede adoptar acuerdos?","Al menos, dos tercios de los miembros que en cada momento lo compongan.",Artículo catorce.,doc128
A1_004,A1,with_ref,"Según el artículo 133 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas, ¿cuándo podrá prescindirse del trámite de consulta pública?",Cuando concurran razones graves de interés público que lo justifiquen.,Artículo 133.,doc095
A1_005,A1,with_ref,"Según lo que se dispone en la Ley Orgánica 3/1980, de 22 de abril, del Consejo de Estado, ¿a propuesta de quién se nombra el Secretario General del Consejo de Estado?",A propuesta de la Comisión Permanente del Consejo de Estado.,Artículo 10.,doc124
A1_006,A1,with_ref,"Conforme al artículo 5 de la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales, ¿quiénes están sujetos al deber de confidencialidad?","Los responsables y encargados del tratamiento de datos, así como todas las personas que intervengan en cualquier fase de este.",Artículo 5.,doc121
A1_007,A1,with_ref,"De acuerdo con el artículo 5 del Real Decreto Legislativo 4/2000, de 23 de junio, por el que se aprueba el texto refundido de la Ley sobre Seguridad Social de los Funcionarios Civiles del Estado, ¿cómo se integra en el Sector Público Institucional Estatal la Mutualidad General de Funcionarios Civiles del Estado (MUFACE)?",Como organismo público.,Artículo 5.,doc223
A1_008,A1,with_ref,"De conformidad con el artículo 58 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria, ¿mediante qué se financiarán las incorporaciones de crédito que afecten al presupuesto del Estado?",Baja en el Fondo de Contingencia o baja en otros créditos de operaciones no financieras.,Artículo 58.,doc107
A1_009,A1,with_ref,"De acuerdo con la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, ¿cuál es la definición de los organismos autónomos estatales?","Son entidades de derecho público, con personalidad jurídica propia, tesorería y patrimonio propios y autonomía en su gestión, que desarrollan actividades propias de la Administración Pública, en calidad de organizaciones instrumentales diferenciadas y dependientes de ésta.",Artículo 98.,doc082
A1_010,A1,with_ref,"Según el artículo 10 del texto refundido de la Ley del Estatuto Básico del Empleado Público, ¿en qué circunstancia se puede nombrar a un funcionario interino?","Para la sustitución transitoria de los titulares, durante el tiempo estrictamente necesario.",Artículo 10.,doc220
